liga,family,period,direction,predictions,hit_rate,brier
bundesliga,chutes_1x2,FT,draw,1362,0.04331864904552129,0.041665776377101726
bundesliga,chutes_1x2,FT,home,1362,0.6233480176211453,0.21133194668192826
bundesliga,chutes_1x2,HT,away,1362,0.3245227606461087,0.20298889830305883
bundesliga,chutes_1x2,HT,draw,1362,0.08149779735682819,0.07484351003946167
bundesliga,chutes_1x2,HT,home,1362,0.5939794419970631,0.22046656956206304
bundesliga,chutes_alvo,FT,over,23154,0.4838904724885549,0.20503750259562636
bundesliga,chutes_alvo,FT,under,23154,0.5161095275114451,0.20503750259562636
bundesliga,chutes_alvo,HT,over,16344,0.5006118453255017,0.19608293043664854
bundesliga,chutes_alvo,HT,under,16344,0.49938815467449826,0.19608293043664854
bundesliga,chutes_alvo_1x2,FT,away,1362,0.3333333333333333,0.2323354034247708
bundesliga,chutes_alvo_1x2,FT,draw,1362,0.09838472834067548,0.0898818651962893
bundesliga,chutes_alvo_1x2,FT,home,1362,0.5682819383259912,0.2634131650030362
bundesliga,chutes_alvo_1x2,HT,away,1362,0.328928046989721,0.22478688831658492
bundesliga,chutes_alvo_1x2,HT,draw,1362,0.16372980910425844,0.1395400125222677
bundesliga,chutes_alvo_1x2,HT,home,1362,0.5073421439060205,0.2631182133924197
bundesliga,dupla,FT,12,1362,0.748898678414097,0.1915097795776585
bundesliga,dupla,FT,1x,1362,0.6908957415565345,0.20356545594711015
