liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao,margem,FT,away_3,1845,0.018428,0.012447,0.018141,0.094082,0.981572
brasileirao,margem,FT,away_4_plus,1845,0.009214,0.004009,0.009169,0.055323,0.990786
brasileirao,margem,FT,draw,1845,0.267751,0.246708,0.195920,0.581484,0.729539
brasileirao,margem,FT,home_1,1845,0.260163,0.236790,0.193159,0.575091,0.739837
brasileirao,margem,FT,home_2,1845,0.131165,0.171192,0.114173,0.389549,0.868835
brasileirao,margem,FT,home_3,1845,0.061789,0.094821,0.059423,0.236646,0.938211
brasileirao,margem,FT,home_4_plus,1845,0.024390,0.072094,0.028381,0.131963,0.973442
brasileirao-b,1x2,2T,away,310,0.238710,0.138080,0.195847,0.662896,0.761290
brasileirao-b,1x2,2T,draw,310,0.364516,0.368712,0.241061,0.678289,0.622581
brasileirao-b,1x2,2T,home,310,0.396774,0.493209,0.273444,0.746113,0.509677
brasileirao-b,1x2,FT,away,310,0.248387,0.145199,0.198752,0.671365,0.748387
brasileirao-b,1x2,FT,draw,310,0.319355,0.249672,0.223649,0.648739,0.680645
brasileirao-b,1x2,FT,home,310,0.432258,0.605130,0.279614,0.770872,0.509677
brasileirao-b,1x2,HT,away,310,0.196774,0.122503,0.158186,0.501752,0.803226
brasileirao-b,1x2,HT,draw,310,0.532258,0.477589,0.263143,0.720918,0.500000
brasileirao-b,1x2,HT,home,310,0.270968,0.399907,0.216005,0.621974,0.661290
brasileirao-b,asian_handicap,FT,away_minus_0_5,310,0.567742,0.394870,0.279614,0.770872,0.509677
brasileirao-b,asian_handicap,FT,away_minus_1,229,0.768559,0.649399,0.202124,0.593706,0.698690
brasileirao-b,asian_handicap,FT,away_minus_1_5,310,0.829032,0.643305,0.192008,0.569215,0.716129
brasileirao-b,asian_handicap,FT,away_minus_2,270,0.951852,0.828111,0.077891,0.296722,0.933333
brasileirao-b,asian_handicap,FT,away_plus_0_5,310,0.248387,0.145199,0.198752,0.671365,0.748387
brasileirao-b,asian_handicap,FT,away_plus_1,255,0.086275,0.142755,0.085939,0.358038,0.909804
brasileirao-b,asian_handicap,FT,away_plus_1_5,310,0.070968,0.043045,0.067193,0.315078,0.929032
brasileirao-b,asian_handicap,FT,away_plus_2,294,0.020408,0.042785,0.021457,0.153889,0.979592
brasileirao-b,asian_handicap,FT,home_minus_0_5,310,0.432258,0.605130,0.279614,0.770872,0.509677
brasileirao-b,asian_handicap,FT,home_minus_1,229,0.231441,0.350601,0.202124,0.593706,0.698690
brasileirao-b,asian_handicap,FT,home_minus_1_5,310,0.170968,0.356695,0.192008,0.569215,0.716129
brasileirao-b,asian_handicap,FT,home_minus_2,270,0.048148,0.171889,0.077891,0.296722,0.933333
brasileirao-b,asian_handicap,FT,home_plus_0_5,310,0.751613,0.854801,0.198752,0.671365,0.748387
brasileirao-b,asian_handicap,FT,home_plus_1,255,0.913725,0.857245,0.085939,0.358038,0.909804
brasileirao-b,asian_handicap,FT,home_plus_1_5,310,0.929032,0.956955,0.067193,0.315078,0.929032
brasileirao-b,asian_handicap,FT,home_plus_2,294,0.979592,0.957215,0.021457,0.153889,0.979592
brasileirao-b,asian_total,FT,over,1441,0.417765,0.420015,0.201936,0.592782,0.691187
brasileirao-b,asian_total,FT,under,1441,0.582235,0.579985,0.201936,0.592782,0.691187
brasileirao-b,asian_total,HT,over,647,0.292117,0.351263,0.212695,0.619867,0.659969
brasileirao-b,asian_total,HT,under,647,0.707883,0.648737,0.212695,0.619867,0.659969
brasileirao-b,btts,FT,nao,310,0.483871,0.641989,0.279376,0.765274,0.509677
brasileirao-b,btts,FT,sim,310,0.516129,0.358011,0.279376,0.765274,0.509677
brasileirao-b,btts,HT,nao,310,0.800000,0.892085,0.171090,0.565865,0.800000
brasileirao-b,btts,HT,sim,310,0.200000,0.107915,0.171090,0.565865,0.800000
brasileirao-b,btts_algum_tempo,FULL,nao,310,0.622581,0.723374,0.246369,0.702088,0.629032
brasileirao-b,btts_algum_tempo,FULL,sim,310,0.377419,0.276626,0.246369,0.702088,0.629032
brasileirao-b,btts_ambos_tempos,FULL,nao,310,0.961290,0.975285,0.038397,0.202773,0.961290
brasileirao-b,btts_ambos_tempos,FULL,sim,310,0.038710,0.024715,0.038397,0.202773,0.961290
brasileirao-b,cartoes,FT,over,4650,0.591613,0.529147,0.172084,0.515035,0.742796
brasileirao-b,cartoes,FT,under,4650,0.408387,0.470853,0.172084,0.515035,0.742796
brasileirao-b,cartoes,HT,over,2480,0.844758,0.337014,0.386426,1.095955,0.421774
brasileirao-b,cartoes,HT,under,2480,0.155242,0.662986,0.386426,1.095955,0.421774
