liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,escanteios_1x2,FT,4,0.40,0.50,536,0.450514,0.464552,0.014038
brasileirao,escanteios_1x2,FT,5,0.50,0.60,659,0.551689,0.553869,0.002180
brasileirao,escanteios_1x2,FT,6,0.60,0.70,546,0.644868,0.589744,-0.055124
brasileirao,escanteios_1x2,FT,7,0.70,0.80,232,0.739946,0.668103,-0.071843
brasileirao,escanteios_1x2,FT,8,0.80,0.90,66,0.833311,0.787879,-0.045432
brasileirao,escanteios_1x2,FT,9,0.90,1.00,1,0.914974,1.000000,0.085026
brasileirao,escanteios_1x2,HT,1,0.10,0.20,1574,0.183245,0.138501,-0.044744
brasileirao,escanteios_1x2,HT,2,0.20,0.30,1099,0.243792,0.223840,-0.019952
brasileirao,escanteios_1x2,HT,3,0.30,0.40,1014,0.346291,0.385602,0.039311
brasileirao,escanteios_1x2,HT,4,0.40,0.50,941,0.452891,0.468650,0.015759
brasileirao,escanteios_1x2,HT,5,0.50,0.60,721,0.542079,0.575589,0.033510
brasileirao,escanteios_1x2,HT,6,0.60,0.70,169,0.640030,0.704142,0.064112
brasileirao,escanteios_1x2,HT,7,0.70,0.80,17,0.725361,0.882353,0.156992
brasileirao,escanteios_exato,FT,0,0.00,0.10,20765,0.037399,0.042475,0.005077
brasileirao,escanteios_exato,FT,1,0.10,0.20,8525,0.118188,0.108974,-0.009214
brasileirao,escanteios_exato,FT,2,0.20,0.30,182,0.239679,0.148352,-0.091328
brasileirao,escanteios_exato,FT,3,0.30,0.40,39,0.340658,0.153846,-0.186812
brasileirao,escanteios_exato,FT,4,0.40,0.50,9,0.439678,0.111111,-0.328567
brasileirao,faltas,FT,0,0.00,0.10,8512,0.045844,0.088228,0.042385
brasileirao,faltas,FT,1,0.10,0.20,5007,0.147177,0.220292,0.073114
brasileirao,faltas,FT,2,0.20,0.30,3842,0.250327,0.336804,0.086476
brasileirao,faltas,FT,3,0.30,0.40,4036,0.351030,0.398414,0.047384
brasileirao,faltas,FT,4,0.40,0.50,4433,0.451904,0.480036,0.028132
brasileirao,faltas,FT,5,0.50,0.60,4433,0.548096,0.519964,-0.028132
brasileirao,faltas,FT,6,0.60,0.70,4036,0.648970,0.601586,-0.047384
