idx,market_key,family,scope,period,direction,line,run_0010_market_odd,run_0010_edge_pct,run_0010_certified,audit_status,before_run_odd,before_run_criado_em,latest_odd,latest_criado_em,latest_mercado,latest_selecao,latest_linha,global_matches_with_same_market_key,global_quotes_with_same_market_key,audit_comment
510,gols_home_ft_under_3_5,gols,home,FT,under,3.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
511,gols_away_ft_over_0_5,gols,away,FT,over,0.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
512,gols_away_ft_under_0_5,gols,away,FT,under,0.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
513,gols_away_ft_over_1_5,gols,away,FT,over,1.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
514,gols_away_ft_under_1_5,gols,away,FT,under,1.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
515,gols_away_ft_over_2_5,gols,away,FT,over,2.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
516,gols_away_ft_under_2_5,gols,away,FT,under,2.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
517,gols_away_ft_over_3_5,gols,away,FT,over,3.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
518,gols_away_ft_under_3_5,gols,away,FT,under,3.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
519,gols_total_ht_over_0_5,gols,total,HT,over,0.5,1.26,-10.37,False,RESOLVIDO_NO_RUN_0010,1.26,2026-05-19 16:32:07,2.35,2026-05-19 19:03:21,1º Tempo - Total de Gols,Mais de 0.5,0.5,1065,1228,RUN #0010 recebeu odd no slot.
520,gols_total_ht_under_0_5,gols,total,HT,under,0.5,3.9,12.57,False,RESOLVIDO_NO_RUN_0010,3.9,2026-05-19 16:32:07,1.55,2026-05-19 19:03:21,1º Tempo - Total de Gols,Menos de 0.5,0.5,1073,1237,RUN #0010 recebeu odd no slot.
521,gols_total_ht_over_1_5,gols,total,HT,over,1.5,2.2,-25.35,False,RESOLVIDO_NO_RUN_0010,2.2,2026-05-19 16:32:07,7.75,2026-05-19 19:03:21,1º Tempo - Total de Gols,Mais de 1.5,1.5,1078,1245,RUN #0010 recebeu odd no slot.
522,gols_total_ht_under_1_5,gols,total,HT,under,1.5,1.68,11,True,RESOLVIDO_NO_RUN_0010,1.68,2026-05-19 16:32:07,1.05,2026-05-19 19:03:21,1º Tempo - Total de Gols,Menos de 1.5,1.5,1071,1237,RUN #0010 recebeu odd no slot.
523,gols_total_ht_over_2_5,gols,total,HT,over,2.5,4.8,-41.74,False,RESOLVIDO_NO_RUN_0010,4.8,2026-05-19 16:32:07,25.0,2026-05-19 19:03:21,1º Tempo - Total de Gols,Mais de 2.5,2.5,177,287,RUN #0010 recebeu odd no slot.
524,gols_total_ht_under_2_5,gols,total,HT,under,2.5,1.19,4.56,True,RESOLVIDO_NO_RUN_0010,1.19,2026-05-19 16:32:07,1.12,2026-05-19 18:33:05,1º Tempo - Total de Gols,Menos de 2.5,2.5,111,210,RUN #0010 recebeu odd no slot.
525,gols_total_ht_over_3_5,gols,total,HT,over,3.5,12,-44.22,False,RESOLVIDO_NO_RUN_0010,12.0,2026-05-19 16:32:07,40.0,2026-05-19 19:03:21,1º Tempo - Total de Gols,Mais de 3.5,3.5,55,151,RUN #0010 recebeu odd no slot.
526,gols_total_ht_under_3_5,gols,total,HT,under,3.5,1.04,-0.83,False,RESOLVIDO_NO_RUN_0010,1.04,2026-05-19 16:32:07,1.007,2026-05-19 18:33:05,1º Tempo - Total de Gols,Menos de 3.5,3.5,52,138,RUN #0010 recebeu odd no slot.
527,gols_home_ht_over_0_5,gols,home,HT,over,0.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como 1º Tempo - Total de Gols do Time; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
